Local Authority Reference,Works Type,Sex of Casualty,Age of Casualty,Category/__cdata/0,Direction,DistrictNumber,Latitude,Longitude
LA00430443,HIGHWAYS ACT PERMITS,Male,26,,,,,
LA00431806,HIGHWAYS ACT PERMITS,Male,34,,,,,
LA00431235,MAJOR,Male,27,,,,,
LA00434101,MAJOR,Female,21,,,,,
LA00435418,HIGHWAYS ACT PERMITS,Male,45,,,,,
LA00432746,MAJOR,Female,46,,,,,
LA00436689,MINOR,Female,40,,,,,
LA00385061,HIGHWAYS ACT PERMITS,Male,47,,,,,
LA00436070,MINOR,Male,57,,,,,
LA00416514,MAJOR,Female,45,,,,,
LA00434857,MAJOR,Female,23,,,,,
LA00433614,MINOR,Female,23,,,,,
LA00434554,MAJOR,Male,51,,,,,
LA00436422,HIGHWAYS ACT PERMITS,Male,18,,,,,
LA00432751,HIGHWAYS ACT PERMITS,Male,16,,,,,
LA00329311,HIGHWAYS ACT PERMITS,Male,18,,,,,
LA00433773,MINOR,Male,37,,,,,
LA00429832,MAJOR,Male,22,,,,,
LA00432533,STANDARD,Male,29,,,,,
LA00437637,MINOR,Female,20,,,,,
LA00436634,MAJOR,Female,66,,,,,
LA00433041,MAJOR,Female,36,,,,,
LA00434532,MAJOR,Male,27,,,,,
LA00435436,HIGHWAYS ACT PERMITS,Male,64,,,,,
LA00437741,HIGHWAYS ACT PERMITS,Female,36,,,,,
LA00416515,MAJOR,Male,15,,,,,
LA00428952,HIGHWAYS ACT PERMITS,Male,30,,,,,
LA00436708,HIGHWAYS ACT PERMITS,Male,23,,,,,
LA00431204,HIGHWAYS ACT PERMITS,Male,21,,,,,
LA00437736,HIGHWAYS ACT PERMITS,Male,30,,,,,
LA00433767,MINOR,Male,20,,,,,
LA00428120,HIGHWAYS ACT PERMITS,Female,35,,,,,
LA00437621,HIGHWAYS ACT PERMITS,Male,22,,,,,
LA00429059,STANDARD,Female,36,,,,,
LA00437336,STANDARD,Female,5,,,,,
LA00436690,STANDARD,Male,57,,,,,
LA00425666,HIGHWAYS ACT PERMITS,Male,67,,,,,
LA00436277,MAJOR,Female,49,,,,,
LA00435162,STANDARD,Male,19,,,,,
LA00429841,MAJOR,Male,30,,,,,
LA00404095,HIGHWAYS ACT PERMITS,Male,41,,,,,
LA00378642,HIGHWAYS ACT PERMITS,Female,20,,,,,
LA00424626,HIGHWAYS ACT PERMITS,Male,40,,,,,
LA00435460,MAJOR,Female,63,,,,,
LA00399493,MAJOR,Female,17,,,,,
LA00436615,STANDARD,Male,52,,,,,
LA00434960,HIGHWAYS ACT PERMITS,Female,45,,,,,
LA00432745,MAJOR,Female,21,,,,,
LA00434856,MAJOR,Male,52,,,,,
LA00436363,ROAD RESTRICTION,Female,5,,,,,
LA00422249,HIGHWAYS ACT PERMITS,Male,25,,,,,
LA00436809,MINOR,Male,25,,,,,
LA00435767,MAJOR,Male,21,,,,,
LA00331276,HIGHWAYS ACT PERMITS,Female,21,,,,,
LA00437462,HIGHWAYS ACT PERMITS,Female,21,,,,,
LA00435433,MAJOR,Male,73,,,,,
LA00435429,MINOR,Male,27,,,,,
LA00434119,MAJOR,Female,51,,,,,
LA00432627,MAJOR,Male,33,,,,,
LA00437057,MINOR,Male,20,,,,,
LA00434493,MAJOR,Female,71,,,,,
LA00415556,MAJOR,Male,46,,,,,
LA00429798,HIGHWAYS ACT PERMITS,Male,48,,,,,
LA00437094,MAJOR,Male,15,,,,,
LA00429827,MAJOR,Male,38,,,,,
LA00429840,MAJOR,Male,11,,,,,
LA00435843,HIGHWAYS ACT PERMITS,Male,60,,,,,
LA00424031,HIGHWAYS ACT PERMITS,Female,26,,,,,
LA00436140,ROAD RESTRICTION,Female,4,,,,,
LA00339267,HIGHWAYS ACT PERMITS,Female,43,,,,,
LA00434547,MINOR,Male,13,,,,,
LA00437072,MAJOR,Male,38,,,,,
LA00435671,MAJOR,Male,73,,,,,
LA00398960,MAJOR,Male,64,,,,,
LA00428835,ROAD RESTRICTION,Male,77,,,,,
LA00434553,MAJOR,Female,70,,,,,
LA00435438,HIGHWAYS ACT PERMITS,Female,85,,,,,
LA00434478,HIGHWAYS ACT PERMITS,Male,36,,,,,
LA00434414,HIGHWAYS ACT PERMITS,Male,37,,,,,
LA00433527,STANDARD,Male,86,,,,,
LA00424587,MINOR,Male,10,,,,,
LA00381735,HIGHWAYS ACT PERMITS,Male,21,,,,,
LA00437739,MINOR,Male,29,,,,,
LA00435253,MAJOR,Male,38,,,,,
LA00435581,HIGHWAYS ACT PERMITS,Male,13,,,,,
LA00437740,STANDARD,Female,9,,,,,
LA00435801,STANDARD,Male,21,,,,,
LA00437731,MINOR,Female,47,,,,,
LA00436412,HIGHWAYS ACT PERMITS,Male,20,,,,,
LA00437559,MINOR,Female,19,,,,,
LA00434500,MAJOR,Male,45,,,,,
LA00346128,HIGHWAYS ACT PERMITS,Female,19,,,,,
LA00435420,MAJOR,Female,47,,,,,
LA00435680,HIGHWAYS ACT PERMITS,Female,60,,,,,
LA00398046,HIGHWAYS ACT PERMITS,Male,29,,,,,
LA00435673,MINOR,Male,11,,,,,
LA00435663,MAJOR,Female,42,,,,,
LA00428088,HIGHWAYS ACT PERMITS,Female,33,,,,,
LA00436680,MAJOR,Female,9,,,,,
LA00428119,HIGHWAYS ACT PERMITS,Female,41,,,,,
LA00414143,HIGHWAYS ACT PERMITS,Female,75,,,,,
LA00437533,MINOR,Male,19,,,,,
LA00408214,MAJOR,Male,36,,,,,
LA00432199,MAJOR,Male,16,,,,,
LA00432156,HIGHWAYS ACT PERMITS,Male,18,,,,,
LA00437742,STANDARD,Female,17,,,,,
LA00427686,HIGHWAYS ACT PERMITS,Male,17,,,,,
LA00434087,HIGHWAYS ACT PERMITS,Female,16,,,,,
,,Male,49,,,,,
,,Female,18,,,,,
,,Female,18,,,,,
,,Male,29,,,,,
,,Male,30,,,,,
,,Female,42,,,,,
,,Female,31,,,,,
,,Female,70,,,,,
,,Female,34,,,,,
,,Male,40,,,,,
,,Male,37,,,,,
,,Female,26,,,,,
,,Female,28,,,,,
,,Female,53,,,,,
,,Female,27,,,,,
,,Male,30,,,,,
,,Male,9,,,,,
,,Male,25,,,,,
,,Male,20,,,,,
,,Male,43,,,,,
,,Male,69,,,,,
,,Male,27,,,,,
,,Female,49,,,,,
,,Male,51,,,,,
,,Male,40,,,,,
,,Female,12,,,,,
,,Male,55,,,,,
,,Male,21,,,,,
,,Male,48,,,,,
,,Male,26,,,,,
,,Male,12,,,,,
,,Female,15,,,,,
,,Female,15,,,,,
,,Male,23,,,,,
,,Male,49,,,,,
,,Female,25,,,,,
,,Male,37,,,,,
,,Female,29,,,,,
,,Male,26,,,,,
,,Male,35,,,,,
,,Female,20,,,,,
,,Male,25,,,,,
,,Female,32,,,,,
,,Male,19,,,,,
,,Female,42,,,,,
,,Male,40,,,,,
,,Male,12,,,,,
,,Male,46,,,,,
,,Male,22,,,,,
,,Male,51,,,,,
,,Male,37,,,,,
,,Male,20,,,,,
,,Male,43,,,,,
,,Female,25,,,,,
,,Female,11,,,,,
,,Female,33,,,,,
,,Female,22,,,,,
,,Male,33,,,,,
,,Male,25,,,,,
,,Female,55,,,,,
,,Female,53,,,,,
,,Male,22,,,,,
,,Male,38,,,,,
,,Female,27,,,,,
,,Female,38,,,,,
,,Female,27,,,,,
,,Male,42,,,,,
,,Male,7,,,,,
,,Male,36,,,,,
,,Female,33,,,,,
,,Female,5,,,,,
,,Female,62,,,,,
,,Male,26,,,,,
,,Female,52,,,,,
,,Female,8,,,,,
,,Male,48,,,,,
,,Female,48,,,,,
,,Female,43,,,,,
,,Male,40,,,,,
,,Female,74,,,,,
,,Male,17,,,,,
,,Female,55,,,,,
,,Male,2,,,,,
,,Male,35,,,,,
,,Female,22,,,,,
,,Male,38,,,,,
,,Female,9,,,,,
,,Male,7,,,,,
,,Female,33,,,,,
,,Male,34,,,,,
,,Female,61,,,,,
,,Male,32,,,,,
,,Female,35,,,,,
,,Female,27,,,,,
,,Male,45,,,,,
,,Female,43,,,,,
,,Female,47,,,,,
,,Male,23,,,,,
,,Female,86,,,,,
,,Male,46,,,,,
,,Male,18,,,,,
,,Female,32,,,,,
,,Female,39,,,,,
,,Female,58,,,,,
,,Female,63,,,,,
,,Male,28,,,,,
,,Female,24,,,,,
,,Female,85,,,,,
,,Female,12,,,,,
,,Male,91,,,,,
,,Male,4,,,,,
,,Male,36,,,,,
,,Female,39,,,,,
,,Female,39,,,,,
,,Female,28,,,,,
,,Female,57,,,,,
,,Female,26,,,,,
,,Female,25,,,,,
,,Male,3,,,,,
,,Female,48,,,,,
,,Female,57,,,,,
,,Female,36,,,,,
,,Male,31,,,,,
,,Male,79,,,,,
,,Female,20,,,,,
,,Male,39,,,,,
,,Female,27,,,,,
,,Male,8,,,,,
,,Male,35,,,,,
,,Male,34,,,,,
,,Female,31,,,,,
,,Female,28,,,,,
,,Male,29,,,,,
,,Male,33,,,,,
,,Male,21,,,,,
,,Female,28,,,,,
,,Female,19,,,,,
,,Male,36,,,,,
,,Female,53,,,,,
,,Male,34,,,,,
,,Female,20,,,,,
,,Male,33,,,,,
,,Male,36,,,,,
,,Male,19,,,,,
,,Female,30,,,,,
,,Male,35,,,,,
,,Female,31,,,,,
,,Female,7,,,,,
,,Male,18,,,,,
,,Male,18,,,,,
,,Male,31,,,,,
,,Female,27,,,,,
,,Female,27,,,,,
,,Male,48,,,,,
,,Female,18,,,,,
,,Male,50,,,,,
,,Female,38,,,,,
,,Male,81,,,,,
,,Female,37,,,,,
,,Female,66,,,,,
,,Male,4,,,,,
,,Female,40,,,,,
,,Female,42,,,,,
,,Female,23,,,,,
,,Male,47,,,,,
,,Female,43,,,,,
,,Female,10,,,,,
,,Female,7,,,,,
,,Male,25,,,,,
,,Female,27,,,,,
,,Female,22,,,,,
,,Female,6,,,,,
,,Female,2,,,,,
,,Female,58,,,,,
,,Male,10,,,,,
,,Male,20,,,,,
,,Male,36,,,,,
,,Female,10,,,,,
,,Female,42,,,,,
,,Male,30,,,,,
,,Female,8,,,,,
,,Male,30,,,,,
,,Female,10,,,,,
,,Female,20,,,,,
,,Male,31,,,,,
,,Male,24,,,,,
,,Male,26,,,,,
,,Male,11,,,,,
,,Male,37,,,,,
,,Female,33,,,,,
,,Female,55,,,,,
,,Female,23,,,,,
,,Male,25,,,,,
,,Male,81,,,,,
,,Male,62,,,,,
,,Male,43,,,,,
,,Female,50,,,,,
,,Male,21,,,,,
,,Female,17,,,,,
,,Female,32,,,,,
,,Male,45,,,,,
,,Female,23,,,,,
,,Male,21,,,,,
,,Male,41,,,,,
,,Male,62,,,,,
,,Male,41,,,,,
,,Female,50,,,,,
,,Male,33,,,,,
,,Male,8,,,,,
,,Male,16,,,,,
,,Male,50,,,,,
,,Male,32,,,,,
,,Male,50,,,,,
,,Male,24,,,,,
,,Male,4,,,,,
,,Female,46,,,,,
,,Female,18,,,,,
,,Female,22,,,,,
,,Male,44,,,,,
,,Male,46,,,,,
,,Female,68,,,,,
,,Female,35,,,,,
,,Female,10,,,,,
,,Male,3,,,,,
,,Male,37,,,,,
,,Female,33,,,,,
,,Male,23,,,,,
,,Female,21,,,,,
,,Male,45,,,,,
,,Male,31,,,,,
,,Female,43,,,,,
,,Male,27,,,,,
,,Female,51,,,,,
,,Male,14,,,,,
,,Female,79,,,,,
,,Male,17,,,,,
,,Male,46,,,,,
,,Male,38,,,,,
,,Female,75,,,,,
,,Male,8,,,,,
,,Male,41,,,,,
,,Female,53,,,,,
,,Female,54,,,,,
,,Male,51,,,,,
,,Male,62,,,,,
,,Female,20,,,,,
,,Male,22,,,,,
,,Female,20,,,,,
,,Male,23,,,,,
,,Male,20,,,,,
,,Female,49,,,,,
,,Female,49,,,,,
,,Male,35,,,,,
,,Male,37,,,,,
,,Male,21,,,,,
,,Female,45,,,,,
,,Male,19,,,,,
,,Male,55,,,,,
,,Male,18,,,,,
,,Female,85,,,,,
,,Male,18,,,,,
,,Male,44,,,,,
,,Male,18,,,,,
,,Male,19,,,,,
,,Male,5,,,,,
,,Male,49,,,,,
,,Female,41,,,,,
,,Male,33,,,,,
,,Male,38,,,,,
,,Male,89,,,,,
,,Male,49,,,,,
,,Female,52,,,,,
,,Female,25,,,,,
,,Female,27,,,,,
,,Male,23,,,,,
,,Male,29,,,,,
,,Female,54,,,,,
,,Male,27,,,,,
,,Male,34,,,,,
,,Male,31,,,,,
,,Male,24,,,,,
,,Male,58,,,,,
,,Male,56,,,,,
,,Female,37,,,,,
,,Female,37,,,,,
,,Male,46,,,,,
,,Female,32,,,,,
,,Male,82,,,,,
,,Female,73,,,,,
,,Female,6,,,,,
,,Female,3,,,,,
,,Female,19,,,,,
,,Male,42,,,,,
,,Male,26,,,,,
,,Male,24,,,,,
,,Female,35,,,,,
,,Male,75,,,,,
,,Male,60,,,,,
,,Male,35,,,,,
,,Male,30,,,,,
,,Male,22,,,,,
,,Male,12,,,,,
,,Male,45,,,,,
,,Male,20,,,,,
,,Male,50,,,,,
,,Female,50,,,,,
,,Male,71,,,,,
,,Female,37,,,,,
,,Female,34,,,,,
,,Male,15,,,,,
,,Female,49,,,,,
,,Male,49,,,,,
,,Female,47,,,,,
,,Male,28,,,,,
,,Female,11,,,,,
,,Female,55,,,,,
,,Male,38,,,,,
,,Female,27,,,,,
,,Male,18,,,,,
,,Male,17,,,,,
,,Male,17,,,,,
,,Female,37,,,,,
,,Female,37,,,,,
,,Female,57,,,,,
,,Male,20,,,,,
,,Male,20,,,,,
,,Female,19,,,,,
,,Female,27,,,,,
,,Female,25,,,,,
,,Male,43,,,,,
,,Female,32,,,,,
,,Female,4,,,,,
,,Male,48,,,,,
,,Female,31,,,,,
,,Male,44,,,,,
,,Female,37,,,,,
,,Male,47,,,,,
,,Male,45,,,,,
,,Male,25,,,,,
,,Male,55,,,,,
,,Female,46,,,,,
,,Male,24,,,,,
,,Female,35,,,,,
,,Male,58,,,,,
,,Male,16,,,,,
,,Male,18,,,,,
,,Male,44,,,,,
,,Male,59,,,,,
,,Female,25,,,,,
,,Female,27,,,,,
,,Female,18,,,,,
,,Female,80,,,,,
,,Female,19,,,,,
,,Male,34,,,,,
,,Female,33,,,,,
,,Female,47,,,,,
,,Female,25,,,,,
,,Female,30,,,,,
,,Male,54,,,,,
,,Male,46,,,,,
,,Female,35,,,,,
,,Female,50,,,,,
,,Female,17,,,,,
,,Male,16,,,,,
,,Female,41,,,,,
,,Male,74,,,,,
,,Male,21,,,,,
,,Male,20,,,,,
,,Female,9,,,,,
,,Male,55,,,,,
,,Male,55,,,,,
,,Male,52,,,,,
,,Male,34,,,,,
,,Male,24,,,,,
,,Female,44,,,,,
,,Male,38,,,,,
,,Male,47,,,,,
,,Female,33,,,,,
,,Male,15,,,,,
,,Female,4,,,,,
,,Female,30,,,,,
,,Female,26,,,,,
,,Female,5,,,,,
,,Female,49,,,,,
,,Male,50,,,,,
,,Male,27,,,,,
,,Male,58,,,,,
,,Male,38,,,,,
,,Male,55,,,,,
,,Female,59,,,,,
,,Male,59,,,,,
,,Female,39,,,,,
,,Female,71,,,,,
,,Female,21,,,,,
,,Male,51,,,,,
,,Male,3,,,,,
,,Male,56,,,,,
,,Female,59,,,,,
,,Male,47,,,,,
,,Male,33,,,,,
,,Female,75,,,,,
,,Male,43,,,,,
,,Male,77,,,,,
,,Female,20,,,,,
,,Male,19,,,,,
,,Male,19,,,,,
,,Female,25,,,,,
,,Female,52,,,,,
,,Male,61,,,,,
,,Female,19,,,,,
,,Female,45,,,,,
,,Male,26,,,,,
,,Female,64,,,,,
,,Female,53,,,,,
,,Female,5,,,,,
,,Female,54,,,,,
,,Female,37,,,,,
,,Female,66,,,,,
,,Female,25,,,,,
,,Male,22,,,,,
,,Male,41,,,,,
,,Male,21,,,,,
,,Male,21,,,,,
,,Male,67,,,,,
,,Male,27,,,,,
,,Male,58,,,,,
,,Male,47,,,,,
,,Male,26,,,,,
,,Male,38,,,,,
,,Male,21,,,,,
,,Male,65,,,,,
,,Male,12,,,,,
,,Female,24,,,,,
,,Female,33,,,,,
,,Female,14,,,,,
,,Male,10,,,,,
,,Female,82,,,,,
,,Male,25,,,,,
,,Male,37,,,,,
,,Male,20,,,,,
,,Female,31,,,,,
,,Male,50,,,,,
,,Male,21,,,,,
,,Male,29,,,,,
,,Male,47,,,,,
,,Male,43,,,,,
,,Male,58,,,,,
,,Female,81,,,,,
,,Male,38,,,,,
,,Male,35,,,,,
,,Male,19,,,,,
,,Male,12,,,,,
,,Female,30,,,,,
,,Female,38,,,,,
,,Male,25,,,,,
,,Male,57,,,,,
,,Female,38,,,,,
,,Male,6,,,,,
,,Female,30,,,,,
,,Male,30,,,,,
,,Male,40,,,,,
,,Male,44,,,,,
,,Male,18,,,,,
,,Female,43,,,,,
,,Male,19,,,,,
,,Male,12,,,,,
,,Female,41,,,,,
,,Male,40,,,,,
,,Male,13,,,,,
,,Male,65,,,,,
,,Male,16,,,,,
,,Male,16,,,,,
,,Male,27,,,,,
,,Male,42,,,,,
,,Female,62,,,,,
,,Female,19,,,,,
,,Male,23,,,,,
,,Male,24,,,,,
,,Male,59,,,,,
,,Male,25,,,,,
,,Male,43,,,,,
,,Male,31,,,,,
,,Male,16,,,,,
,,Male,62,,,,,
,,Male,22,,,,,
,,Male,35,,,,,
,,Female,20,,,,,
,,Male,14,,,,,
,,Male,12,,,,,
,,Male,18,,,,,
,,Male,61,,,,,
,,Female,66,,,,,
,,Female,4,,,,,
,,Female,83,,,,,
,,Female,40,,,,,
,,Male,13,,,,,
,,Male,18,,,,,
,,Male,39,,,,,
,,Female,53,,,,,
,,Male,31,,,,,
,,Female,31,,,,,
,,Female,26,,,,,
,,Male,21,,,,,
,,Male,27,,,,,
,,Male,31,,,,,
,,Female,41,,,,,
,,Male,43,,,,,
,,Female,16,,,,,
,,Male,48,,,,,
,,Male,51,,,,,
,,Male,24,,,,,
,,Male,37,,,,,
,,Female,24,,,,,
,,Male,31,,,,,
,,Female,32,,,,,
,,Male,39,,,,,
,,Male,23,,,,,
,,Male,21,,,,,
,,Female,68,,,,,
,,Female,22,,,,,
,,Female,47,,,,,
,,Male,35,,,,,
,,Male,93,,,,,
,,Female,84,,,,,
,,Female,51,,,,,
,,Male,23,,,,,
,,Male,25,,,,,
,,Male,9,,,,,
,,Female,29,,,,,
,,Female,33,,,,,
,,Male,24,,,,,
,,Female,22,,,,,
,,Male,37,,,,,
,,Male,36,,,,,
,,Female,47,,,,,
,,Female,8,,,,,
,,Female,52,,,,,
,,Male,63,,,,,
,,Female,27,,,,,
,,Male,42,,,,,
,,Male,39,,,,,
,,Female,54,,,,,
,,Male,30,,,,,
,,Male,29,,,,,
,,Male,28,,,,,
,,Male,22,,,,,
,,Female,22,,,,,
,,Male,5,,,,,
,,Female,20,,,,,
,,Male,17,,,,,
,,Female,26,,,,,
,,Female,26,,,,,
,,Female,20,,,,,
,,Male,22,,,,,
,,Male,24,,,,,
,,Female,17,,,,,
,,Male,22,,,,,
,,Female,60,,,,,
,,Male,42,,,,,
,,Female,37,,,,,
,,Female,12,,,,,
,,Female,28,,,,,
,,Female,49,,,,,
,,Male,53,,,,,
,,Female,48,,,,,
,,Female,61,,,,,
,,Male,38,,,,,
,,Female,37,,,,,
,,Male,28,,,,,
,,Male,47,,,,,
,,Female,62,,,,,
,,Male,30,,,,,
,,Female,4,,,,,
,,Male,32,,,,,
,,Female,2,,,,,
,,Female,28,,,,,
,,Female,41,,,,,
,,Female,80,,,,,
,,Male,40,,,,,
,,Female,29,,,,,
,,Female,7,,,,,
,,Male,21,,,,,
,,Male,19,,,,,
,,Male,24,,,,,
,,Female,31,,,,,
,,Male,33,,,,,
,,Male,45,,,,,
,,Female,14,,,,,
,,Male,77,,,,,
,,Male,21,,,,,
,,Female,16,,,,,
,,Female,15,,,,,
,,Female,16,,,,,
,,Female,46,,,,,
,,Female,21,,,,,
,,Female,16,,,,,
,,Female,16,,,,,
,,Female,17,,,,,
,,Male,9,,,,,
,,Female,12,,,,,
,,Female,41,,,,,
,,Male,58,,,,,
,,Female,56,,,,,
,,Male,25,,,,,
,,Male,63,,,,,
,,Female,17,,,,,
,,Female,17,,,,,
,,Male,12,,,,,
,,Male,25,,,,,
,,Female,22,,,,,
,,Male,21,,,,,
,,Male,21,,,,,
,,Male,18,,,,,
,,Male,43,,,,,
,,Male,22,,,,,
,,Male,22,,,,,
,,Male,36,,,,,
,,Female,60,,,,,
,,Male,48,,,,,
,,Male,41,,,,,
,,Male,4,,,,,
,,Female,22,,,,,
,,Female,46,,,,,
,,Female,25,,,,,
,,Male,20,,,,,
,,Female,16,,,,,
,,Male,17,,,,,
,,Male,17,,,,,
,,Female,50,,,,,
,,Female,14,,,,,
,,Male,43,,,,,
,,Female,30,,,,,
,,Male,60,,,,,
,,Female,26,,,,,
,,Female,60,,,,,
,,Female,26,,,,,
,,Male,48,,,,,
,,Female,27,,,,,
,,Male,25,,,,,
,,Male,23,,,,,
,,Male,26,,,,,
,,Male,16,,,,,
,,Male,17,,,,,
,,Male,14,,,,,
,,Male,17,,,,,
,,Male,27,,,,,
,,Male,23,,,,,
,,Male,43,,,,,
,,Male,14,,,,,
,,Female,22,,,,,
,,Female,30,,,,,
,,Female,5,,,,,
,,Male,61,,,,,
,,Female,11,,,,,
,,Male,19,,,,,
,,Male,40,,,,,
,,Male,50,,,,,
,,Female,50,,,,,
,,Male,34,,,,,
,,Female,29,,,,,
,,Male,12,,,,,
,,Male,23,,,,,
,,Male,46,,,,,
,,Female,30,,,,,
,,Male,53,,,,,
,,Female,62,,,,,
,,Male,53,,,,,
,,Female,33,,,,,
,,Female,70,,,,,
,,Male,36,,,,,
,,Male,15,,,,,
,,Male,16,,,,,
,,Male,51,,,,,
,,Male,31,,,,,
,,Male,33,,,,,
,,Male,30,,,,,
,,Female,23,,,,,
,,Female,32,,,,,
,,Female,89,,,,,
,,Female,29,,,,,
,,Male,36,,,,,
,,Female,53,,,,,
,,Female,29,,,,,
,,Male,57,,,,,
,,Female,20,,,,,
,,Female,59,,,,,
,,Female,69,,,,,
,,Male,17,,,,,
,,Male,16,,,,,
,,Male,29,,,,,
,,Male,40,,,,,
,,Female,31,,,,,
,,Male,48,,,,,
,,Female,21,,,,,
,,Female,47,,,,,
,,Male,36,,,,,
,,Male,29,,,,,
,,Male,18,,,,,
,,Female,26,,,,,
,,Male,31,,,,,
,,Female,36,,,,,
,,Male,40,,,,,
,,Female,32,,,,,
,,Male,22,,,,,
,,Male,11,,,,,
,,Female,34,,,,,
,,Female,36,,,,,
,,Male,2,,,,,
,,Male,15,,,,,
,,Male,27,,,,,
,,Female,25,,,,,
,,Female,21,,,,,
,,Male,47,,,,,
,,Male,34,,,,,
,,Female,9,,,,,
,,Male,46,,,,,
,,Female,49,,,,,
,,Female,20,,,,,
,,Female,20,,,,,
,,Female,20,,,,,
,,Female,25,,,,,
,,Female,38,,,,,
,,Male,38,,,,,
,,Male,46,,,,,
,,Female,24,,,,,
,,Female,28,,,,,
,,Female,35,,,,,
,,Male,12,,,,,
,,Male,62,,,,,
,,Male,21,,,,,
,,Male,23,,,,,
,,Male,52,,,,,
,,Female,27,,,,,
,,Male,51,,,,,
,,Female,17,,,,,
,,Male,51,,,,,
,,Male,31,,,,,
,,Female,16,,,,,
,,Male,18,,,,,
,,Male,17,,,,,
,,Female,68,,,,,
,,Female,36,,,,,
,,Male,26,,,,,
,,Female,27,,,,,
,,Female,25,,,,,
,,Female,52,,,,,
,,Male,37,,,,,
,,Female,26,,,,,
,,Male,11,,,,,
,,Female,63,,,,,
,,Female,15,,,,,
,,Male,46,,,,,
,,Male,48,,,,,
,,Male,16,,,,,
,,Male,17,,,,,
,,Male,22,,,,,
,,Male,5,,,,,
,,Male,5,,,,,
,,Male,34,,,,,
,,Male,46,,,,,
,,Male,55,,,,,
,,Male,65,,,,,
,,Male,34,,,,,
,,Male,29,,,,,
,,Male,27,,,,,
,,Male,31,,,,,
,,Male,37,,,,,
,,Male,42,,,,,
,,Male,36,,,,,
,,Male,34,,,,,
,,Male,67,,,,,
,,Female,47,,,,,
,,Male,12,,,,,
,,Male,27,,,,,
,,Male,58,,,,,
,,Male,19,,,,,
,,Female,14,,,,,
,,Male,17,,,,,
,,Male,41,,,,,
,,Male,18,,,,,
,,Male,18,,,,,
,,Male,27,,,,,
,,Female,19,,,,,
,,Male,29,,,,,
,,Male,18,,,,,
,,Female,16,,,,,
,,Male,19,,,,,
,,Female,24,,,,,
,,Female,19,,,,,
,,Male,80,,,,,
,,Male,7,,,,,
,,Female,25,,,,,
,,Male,15,,,,,
,,Male,8,,,,,
,,Male,27,,,,,
,,Male,38,,,,,
,,Male,49,,,,,
,,Female,26,,,,,
,,Male,18,,,,,
,,Male,30,,,,,
,,Male,38,,,,,
,,Male,1,,,,,
,,Male,50,,,,,
,,Female,8,,,,,
,,Male,38,,,,,
,,Female,42,,,,,
,,Female,67,,,,,
,,Male,55,,,,,
,,Female,45,,,,,
,,Female,22,,,,,
,,Male,25,,,,,
,,Female,35,,,,,
,,Male,51,,,,,
,,Female,60,,,,,
,,Male,23,,,,,
,,Female,35,,,,,
,,Female,41,,,,,
,,Female,45,,,,,
,,Male,23,,,,,
,,Male,22,,,,,
,,Male,29,,,,,
,,Male,21,,,,,
,,Female,18,,,,,
,,Male,18,,,,,
,,Male,19,,,,,
,,Male,18,,,,,
,,Male,27,,,,,
,,Male,34,,,,,
,,Female,67,,,,,
,,Male,21,,,,,
,,Male,32,,,,,
,,Male,48,,,,,
,,Male,36,,,,,
,,Female,26,,,,,
,,Male,28,,,,,
,,Male,45,,,,,
,,Male,42,,,,,
,,Male,26,,,,,
,,Male,27,,,,,
,,Female,38,,,,,
,,Female,28,,,,,
,,Male,17,,,,,
,,Male,47,,,,,
,,Male,31,,,,,
,,Female,25,,,,,
,,Female,37,,,,,
,,Male,6,,,,,
,,Female,66,,,,,
,,Female,23,,,,,
,,Female,22,,,,,
,,Male,39,,,,,
,,Male,10,,,,,
,,Male,49,,,,,
,,Male,45,,,,,
,,Female,7,,,,,
,,Male,18,,,,,
,,Male,53,,,,,
,,Male,45,,,,,
,,Male,41,,,,,
,,Female,30,,,,,
,,Male,21,,,,,
,,Male,58,,,,,
,,Female,26,,,,,
,,Male,36,,,,,
,,Male,84,,,,,
,,Male,75,,,,,
,,Female,70,,,,,
,,Female,35,,,,,
,,Male,38,,,,,
,,Male,20,,,,,
,,Female,39,,,,,
,,Female,51,,,,,
,,Male,19,,,,,
,,Male,53,,,,,
,,Female,6,,,,,
,,Male,31,,,,,
,,Male,21,,,,,
,,Male,6,,,,,
,,Female,18,,,,,
,,Female,17,,,,,
,,Female,30,,,,,
,,Female,44,,,,,
,,Male,32,,,,,
,,Female,52,,,,,
,,Female,25,,,,,
,,Male,19,,,,,
,,Male,38,,,,,
,,Female,36,,,,,
,,Male,34,,,,,
,,Female,6,,,,,
,,Male,11,,,,,
,,Male,1,,,,,
,,Male,18,,,,,
,,Male,26,,,,,
,,Male,33,,,,,
,,Male,36,,,,,
,,Female,67,,,,,
,,Male,32,,,,,
,,Male,17,,,,,
,,Male,53,,,,,
,,Male,36,,,,,
,,Male,42,,,,,
,,Male,64,,,,,
,,Female,33,,,,,
,,Female,64,,,,,
,,Female,20,,,,,
,,Female,51,,,,,
,,Male,23,,,,,
,,Female,16,,,,,
,,Male,19,,,,,
,,Female,54,,,,,
,,Female,12,,,,,
,,Male,25,,,,,
,,Female,37,,,,,
,,Female,20,,,,,
,,Male,25,,,,,
,,Male,51,,,,,
,,Male,38,,,,,
,,Female,37,,,,,
,,Male,43,,,,,
,,Male,21,,,,,
,,Male,40,,,,,
,,Male,50,,,,,
,,Male,11,,,,,
