Local Authority Reference,Works Status,Works Type,Category Of Works,Accident Ref No.,Casualty Class
LA00434401,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002336,Passenger
LA00429926,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002368,Driver
LA00433683,IN PROGRESS,MAJOR,Streetworks,10AA0002370,Passenger
LA00431931,PROPOSED WORKS,MINOR,Streetworks,10AA0003115,Driver
LA00437561,PROPOSED WORKS,STANDARD,Streetworks,10BA0002340,Passenger
LA00432753,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002344,Driver
LA00426421,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002380,Driver
LA00433516,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0002380,Passenger
LA00428458,PROPOSED WORKS,STANDARD,Streetworks,10BA0002380,Passenger
LA00436843,PROPOSED WORKS,MAJOR,Streetworks,10MU0002347,Driver
LA00435435,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002376,Pedestrian
LA00422653,PROPOSED WORKS,MAJOR,Streetworks,10BA0002414,Pedestrian
LA00436297,PROPOSED WORKS,STANDARD,Streetworks,10BA0002417,Passenger
LA00411091,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002435,Driver
LA00437502,PROPOSED WORKS,MINOR,Streetworks,10BA0002498,Driver
LA00435201,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002558,Driver
LA00436015,PROPOSED WORKS,MAJOR,Streetworks,10CA0002558,Passenger
LA00436292,PROPOSED WORKS,STANDARD,Streetworks,10AA0002387,Pedestrian
LA00430443,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0002482,Driver
LA00431806,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002361,Passenger
LA00431235,PROPOSED WORKS,MAJOR,Streetworks,10CA0002390,Driver
LA00434101,PROPOSED WORKS,MAJOR,Streetworks,10CA0002392,Passenger
LA00435418,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other,10CA0002422,Pedestrian
LA00432746,PROPOSED WORKS,MAJOR,Streetworks,10CA0002468,Pedestrian
LA00436689,PROPOSED WORKS,MINOR,Streetworks,10CA0002561,Driver
LA00385061,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0002409,Driver
LA00436070,PROPOSED WORKS,MINOR,Streetworks,10MU0002409,Driver
LA00416514,PROPOSED WORKS,MAJOR,Streetworks,10MU0002433,Driver
LA00434857,PROPOSED WORKS,MAJOR,Streetworks,10MU0002450,Driver
LA00433614,PROPOSED REMEDIAL,MINOR,Streetworks,10AA0002375,Driver
LA00434554,PROPOSED WORKS,MAJOR,Streetworks,10AA0002395,Driver
LA00436422,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002442,Passenger
LA00432751,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002442,Passenger
LA00329311,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002442,Driver
LA00433773,PROPOSED WORKS,MINOR,Streetworks,10BA0002438,Pedestrian
LA00429832,PROPOSED WORKS,MAJOR,Streetworks,10BA0002454,Driver
LA00432533,PROPOSED WORKS,STANDARD,Streetworks,10BA0002454,Passenger
LA00437637,PROPOSED WORKS,MINOR,Streetworks,10BA0002454,Passenger
LA00436634,WORKS ABANDONED,MAJOR,Streetworks,10BA0002464,Driver
LA00433041,PROPOSED WORKS,MAJOR,Streetworks,10BA0002464,Driver
LA00434532,PROPOSED WORKS,MAJOR,Streetworks,10BA0002473,Pedestrian
LA00435436,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002554,Driver
LA00437741,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002554,Passenger
LA00416515,IN PROGRESS,MAJOR,Streetworks,10CA0002563,Driver
LA00428952,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002360,Driver
LA00436708,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002360,Passenger
LA00431204,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002360,Passenger
LA00437736,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002360,Passenger
LA00433767,PROPOSED WORKS,MINOR,Streetworks,10BA0002471,Driver
LA00428120,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0003351,Passenger
LA00437621,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0003451,Driver
LA00429059,PROPOSED WORKS,STANDARD,Streetworks,10CA0002472,Driver
LA00437336,PROPOSED WORKS,STANDARD,Streetworks,10CA0002472,Passenger
LA00436690,PROPOSED WORKS,STANDARD,Streetworks,10AA0002386,Driver
LA00425666,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002698,Driver
LA00436277,PROPOSED WORKS,MAJOR,Streetworks,10AA0002698,Driver
LA00435162,PROPOSED WORKS,STANDARD,Streetworks,10BA0002467,Pedestrian
LA00429841,PROPOSED WORKS,MAJOR,Streetworks,10BA0004480,Driver
LA00404095,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0002743,Driver
LA00378642,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002388,Driver
LA00424626,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002388,Driver
LA00435460,PROPOSED WORKS,MAJOR,Streetworks,10AA0002388,Passenger
LA00399493,PROPOSED WORKS,MAJOR,Streetworks,10AA0002673,Driver
LA00436615,PROPOSED WORKS,STANDARD,Streetworks,10MU0139624,Driver
LA00434960,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002507,Driver
LA00432745,PROPOSED WORKS,MAJOR,Streetworks,10AA0002507,Driver
LA00434856,PROPOSED WORKS,MAJOR,Streetworks,10AA0002644,Driver
LA00436363,PROPOSED WORKS,ROAD RESTRICTION,Streetworks,10BA0002530,Pedestrian
LA00422249,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10MU0002531,Pedestrian
LA00436809,PROPOSED WORKS,MINOR,Streetworks,10AA0002520,Driver
LA00435767,IN PROGRESS,MAJOR,Streetworks,10AA0002520,Driver
LA00331276,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002520,Passenger
LA00437462,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002520,Passenger
LA00435433,PROPOSED WORKS,MAJOR,Streetworks,10AA0002533,Driver
LA00435429,PROPOSED WORKS,MINOR,Streetworks,10AA0002533,Driver
LA00434119,PROPOSED WORKS,MAJOR,Streetworks,10AA0002533,Driver
LA00432627,PROPOSED WORKS,MAJOR,Streetworks,10BA0002613,Driver
LA00437057,PROPOSED WORKS,MINOR,Streetworks,10BA0002613,Passenger
LA00434493,PROPOSED WORKS,MAJOR,Streetworks,10CA0002543,Passenger
LA00415556,IN PROGRESS,MAJOR,Streetworks,10CA0002652,Driver
LA00429798,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0002652,Driver
LA00437094,PROPOSED WORKS,MAJOR,Streetworks,10CA0002652,Passenger
LA00429827,PROPOSED WORKS,MAJOR,Streetworks,10MU0002547,Driver
LA00429840,PROPOSED WORKS,MAJOR,Streetworks,10AA0002579,Pedestrian
LA00435843,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002535,Driver
LA00424031,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10BA0002535,Driver
LA00436140,PROPOSED WORKS,ROAD RESTRICTION,Streetworks,10CA0002596,Pedestrian
LA00339267,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002609,Driver
LA00434547,PROPOSED WORKS,MINOR,Streetworks,10CA0002609,Passenger
LA00437072,PROPOSED WORKS,MAJOR,Streetworks,10DA0002623,Driver
LA00435671,PROPOSED WORKS,MAJOR,Streetworks,10AA0002551,Passenger
LA00398960,WORKS ABANDONED,MAJOR,Streetworks,10AA0002551,Driver
LA00428835,PROPOSED WORKS,ROAD RESTRICTION,Streetworks,10AA0002551,Passenger
LA00434553,POTENTIAL WORKS,MAJOR,Streetworks,10AA0002551,Pedestrian
LA00435438,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0003461,Pedestrian
LA00434478,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002624,Driver
LA00434414,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002622,Driver
LA00433527,WORKS ABANDONED,STANDARD,Streetworks,10BA0002584,Pedestrian
LA00424587,PROPOSED REMEDIAL,MINOR,Streetworks,10BA0002585,Pedestrian
LA00381735,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0002594,Driver
LA00437739,PROPOSED WORKS,MINOR,Streetworks,10BA0002610,Driver
LA00435253,PROPOSED WORKS,MAJOR,Streetworks,10BA0002610,Passenger
LA00435581,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10BA0002610,Passenger
LA00437740,PROPOSED WORKS,STANDARD,Streetworks,10BA0002610,Passenger
LA00435801,PROPOSED WORKS,STANDARD,Streetworks,10BA0003100,Pedestrian
LA00437731,PROPOSED WORKS,MINOR,Streetworks,10CA0002597,Driver
LA00436412,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0002617,Driver
LA00437559,PROPOSED WORKS,MINOR,Streetworks,10CA0002649,Passenger
LA00434500,PROPOSED WORKS,MAJOR,Streetworks,10CA0002649,Passenger
LA00346128,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0002649,Pedestrian
LA00435420,PROPOSED WORKS,MAJOR,Streetworks,10AA0002660,Driver
LA00435680,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002660,Driver
LA00398046,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0002741,Driver
LA00435673,PROPOSED WORKS,MINOR,Streetworks,10AA0002863,Passenger
LA00435663,PROPOSED WORKS,MAJOR,Streetworks,10BA0002631,Passenger
LA00428088,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10BA0003585,Driver
LA00436680,PROPOSED WORKS,MAJOR,Streetworks,10BA0003585,Passenger
LA00428119,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002708,Driver
LA00414143,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002708,Driver
LA00437533,PROPOSED WORKS,MINOR,Streetworks,10AA0002718,Driver
LA00408214,PROPOSED REMEDIAL,MAJOR,Streetworks,10BA0002830,Driver
LA00432199,PROPOSED WORKS,MAJOR,Streetworks,10AA0002690,Driver
LA00432156,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10AA0002736,Passenger
LA00437742,PROPOSED WORKS,STANDARD,Streetworks,10AA0002736,Passenger
LA00427686,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10AA0002736,Passenger
LA00434087,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0002736,Passenger
,,,,10BA0002693,Driver
,,,,10BA0003376,Driver
,,,,10BA0003376,Driver
,,,,10CA0002731,Pedestrian
,,,,10CA0002735,Driver
,,,,10CA0002738,Pedestrian
,,,,10CA0002787,Driver
,,,,10CA0002814,Passenger
,,,,10MU0002737,Driver
,,,,10AA0002745,Driver
,,,,10CA0002727,Pedestrian
,,,,10BA0002809,Passenger
,,,,10BA0003816,Pedestrian
,,,,10BA0003816,Pedestrian
,,,,10BA0157603,Driver
,,,,10BA0157603,Passenger
,,,,10CA0002832,Pedestrian
,,,,10AA0002828,Driver
,,,,10AA0002828,Passenger
,,,,10AA0003148,Driver
,,,,10BA0002812,Driver
,,,,10AA0002821,Driver
,,,,10BA0002835,Driver
,,,,10BA0002859,Driver
,,,,10BA0002864,Passenger
,,,,10CA0002829,Pedestrian
,,,,10CA0160378,Pedestrian
,,,,10AA0002817,Driver
,,,,10AA0002907,Driver
,,,,10CA0002881,Driver
,,,,10CA0002883,Pedestrian
,,,,10AA0002877,Passenger
,,,,10AA0002877,Passenger
,,,,10AA0002909,Pedestrian
,,,,10BA0002987,Driver
,,,,10CA0002851,Driver
,,,,10CA0002898,Driver
,,,,10CA0002898,Passenger
,,,,10CA0003077,Driver
,,,,10AA0002892,Driver
,,,,10AA0002911,Pedestrian
,,,,10AA0002933,Driver
,,,,10AA0003106,Driver
,,,,10BA0003171,Driver
,,,,10BA0003171,Driver
,,,,10BA0003460,Pedestrian
,,,,10CA0002912,Pedestrian
,,,,10CA0002944,Driver
,,,,10CA0002979,Pedestrian
,,,,10AA0002998,Driver
,,,,10BA0003368,Driver
,,,,10CA0002928,Pedestrian
,,,,10CA0002949,Driver
,,,,10CA0002997,Pedestrian
,,,,10CA0003045,Pedestrian
,,,,10DA0002964,Driver
,,,,10DA0002964,Passenger
,,,,10BA0002939,Driver
,,,,10BA0002977,Driver
,,,,10BA0002977,Driver
,,,,10BA0003001,Driver
,,,,10BA0003001,Driver
,,,,10BA0005780,Passenger
,,,,10CA0002954,Driver
,,,,10CA0002954,Passenger
,,,,10CA0002954,Passenger
,,,,10CA0003659,Driver
,,,,10AA0002993,Pedestrian
,,,,10BA0002983,Driver
,,,,10BA0002983,Passenger
,,,,10BA0002983,Passenger
,,,,10MU0003046,Passenger
,,,,10AA0003007,Driver
,,,,10AA0003012,Pedestrian
,,,,10AA0003024,Pedestrian
,,,,10AA0003098,Driver
,,,,10AA0003098,Driver
,,,,10BA0003088,Driver
,,,,10CA0003006,Pedestrian
,,,,10CA0003061,Driver
,,,,10CA0003061,Driver
,,,,10CA0003192,Driver
,,,,10AA0003042,Passenger
,,,,10BA0003067,Driver
,,,,10BA0003097,Driver
,,,,10BA0003097,Driver
,,,,10BA0003123,Passenger
,,,,10BA0003123,Passenger
,,,,10BA0003123,Passenger
,,,,10BA0003124,Pedestrian
,,,,10CA0003055,Pedestrian
,,,,10CA0003105,Driver
,,,,10CA0003231,Pedestrian
,,,,10AA0003064,Driver
,,,,10AA0003326,Passenger
,,,,10AA0003326,Driver
,,,,10BA0003108,Pedestrian
,,,,10CA0003109,Driver
,,,,10CA0003239,Passenger
,,,,10CA0003307,Driver
,,,,10CA0003307,Pedestrian
,,,,10MU0003215,Passenger
,,,,10AA0003102,Pedestrian
,,,,10AA0003116,Driver
,,,,10AA0003116,Passenger
,,,,10BA0003908,Driver
,,,,10BA0003908,Passenger
,,,,10CA0003198,Pedestrian
,,,,10MU0003290,Passenger
,,,,10AA0003107,Passenger
,,,,10AA0003127,Pedestrian
,,,,10AA0003252,Driver
,,,,10AA0003252,Passenger
,,,,10CA0003113,Driver
,,,,10CA0003165,Driver
,,,,10CA0003201,Passenger
,,,,10CA0003201,Passenger
,,,,10MU0003225,Driver
,,,,10AA0003095,Pedestrian
,,,,10AA0003332,Driver
,,,,10AA0003332,Passenger
,,,,10AA0003377,Passenger
,,,,10BA0003159,Driver
,,,,10BA0004198,Driver
,,,,10CA0003158,Driver
,,,,10AA0003470,Driver
,,,,10AA0003470,Driver
,,,,10AA0003470,Passenger
,,,,10BA0003177,Driver
,,,,10BA0003199,Driver
,,,,10BA0003199,Passenger
,,,,10BA0003199,Passenger
,,,,10BA0003199,Passenger
,,,,10AA0003218,Driver
,,,,10CA0003654,Driver
,,,,10MU0003329,Driver
,,,,10AA0003666,Pedestrian
,,,,10BA0003228,Driver
,,,,10BA0003361,Driver
,,,,10CA0003224,Driver
,,,,10CA0003265,Pedestrian
,,,,10AA0003335,Driver
,,,,10AA0003359,Driver
,,,,10BA0003412,Passenger
,,,,10BA0003806,Pedestrian
,,,,10CA0003263,Driver
,,,,10CA0003285,Pedestrian
,,,,10CA0003292,Driver
,,,,10AA0003322,Pedestrian
,,,,10BA0003325,Driver
,,,,10BA0003343,Driver
,,,,10BA0003387,Driver
,,,,10BA0003387,Passenger
,,,,10CA0003321,Driver
,,,,10CA0003321,Driver
,,,,10CA0003327,Pedestrian
,,,,10MU0003364,Driver
,,,,10AA0003315,Driver
,,,,10AA0003315,Driver
,,,,10AA0003315,Passenger
,,,,10AA0003315,Passenger
,,,,10AA0003324,Driver
,,,,10BA0003384,Driver
,,,,10CA0003379,Driver
,,,,10CA0003379,Driver
,,,,10CA0003379,Passenger
,,,,10CA0003379,Passenger
,,,,10CA0003379,Passenger
,,,,10CA0003496,Driver
,,,,10CA0003568,Driver
,,,,10CA0003568,Passenger
,,,,10CA0003568,Passenger
,,,,10CA0003568,Passenger
,,,,10MU0003462,Passenger
,,,,10AA0003311,Pedestrian
,,,,10BA0003396,Driver
,,,,10BA0003414,Driver
,,,,10BA0003572,Driver
,,,,10CA0003374,Driver
,,,,10CA0004411,Driver
,,,,10AA0003375,Passenger
,,,,10AA0003375,Passenger
,,,,10AA0003375,Passenger
,,,,10AA0003458,Passenger
,,,,10AA0003524,Driver
,,,,10BA0003336,Driver
,,,,10BA0003336,Driver
,,,,10BA0003356,Pedestrian
,,,,10BA0003415,Driver
,,,,10BA0003415,Passenger
,,,,10BA0003514,Pedestrian
,,,,10BA0003576,Pedestrian
,,,,10CA0003348,Pedestrian
,,,,10MU0003472,Driver
,,,,10AA0003459,Driver
,,,,10AA0003459,Driver
,,,,10AA0003676,Driver
,,,,10BA0003457,Driver
,,,,10CA0003439,Pedestrian
,,,,10BA0196118,Pedestrian
,,,,10CA0003477,Driver
,,,,10CA0003477,Passenger
,,,,10CA0004300,Pedestrian
,,,,10AA0004038,Driver
,,,,10AA0004041,Driver
,,,,10BA0003538,Driver
,,,,10BA0003560,Pedestrian
,,,,10CA0003522,Driver
,,,,10CA0003547,Pedestrian
,,,,10AA0003504,Driver
,,,,10AA0003646,Driver
,,,,10AA0003646,Passenger
,,,,10BA0003535,Driver
,,,,10BA0003535,Passenger
,,,,10BA0003561,Pedestrian
,,,,10BA0003584,Driver
,,,,10BA0003584,Passenger
,,,,10CA0003605,Driver
,,,,10CA0003732,Driver
,,,,10CA0003732,Passenger
,,,,10AA0003603,Driver
,,,,10AA0003603,Driver
,,,,10AA0003603,Passenger
,,,,10BA0003515,Pedestrian
,,,,10BA0003569,Driver
,,,,10BA0003569,Passenger
,,,,10CA0003577,Driver
,,,,10CA0003611,Driver
,,,,10AA0003579,Driver
,,,,10AA0003579,Driver
,,,,10AA0003579,Passenger
,,,,10BA0003587,Driver
,,,,10BA0003616,Passenger
,,,,10AA0003635,Driver
,,,,10AA0003660,Pedestrian
,,,,10CA0003639,Driver
,,,,10CA0003730,Driver
,,,,10CA0003733,Driver
,,,,10AA0003618,Passenger
,,,,10AA0003650,Pedestrian
,,,,10AA0003657,Driver
,,,,10AA0003663,Passenger
,,,,10AA0003678,Passenger
,,,,10BA0003765,Driver
,,,,10CA0003679,Pedestrian
,,,,10AA0003692,Passenger
,,,,10AA0003720,Driver
,,,,10AA0003741,Driver
,,,,10AA0003869,Driver
,,,,10BA0003658,Driver
,,,,10BA0003658,Driver
,,,,10BA0003658,Passenger
,,,,10BA0207610,Driver
,,,,10CA0003689,Driver
,,,,10CA0003780,Passenger
,,,,10AA0004015,Passenger
,,,,10BA0003718,Driver
,,,,10CA0003739,Pedestrian
,,,,10AA0003872,Driver
,,,,10BA0003821,Driver
,,,,10CA0003787,Driver
,,,,10CA0003787,Driver
,,,,10CA0003881,Driver
,,,,10MU0003833,Driver
,,,,10BA0003812,Driver
,,,,10CA0003979,Driver
,,,,10AA0003743,Passenger
,,,,10AA0003743,Passenger
,,,,10AA0004036,Driver
,,,,10BA0003798,Driver
,,,,10BA0003825,Driver
,,,,10BA0003825,Passenger
,,,,10MU0003814,Driver
,,,,10MU0003814,Passenger
,,,,10BA0003805,Driver
,,,,10BA0003813,Driver
,,,,10BA0003813,Driver
,,,,10BA0003813,Passenger
,,,,10BA0003841,Passenger
,,,,10BA0003841,Passenger
,,,,10CA0003836,Driver
,,,,10AA0003875,Driver
,,,,10AA0003875,Driver
,,,,10BA0003867,Driver
,,,,10BA0003867,Passenger
,,,,10CA0003839,Driver
,,,,10CA0003839,Driver
,,,,10CA0003839,Passenger
,,,,10CA0003839,Passenger
,,,,10CA0003839,Passenger
,,,,10CA0003839,Passenger
,,,,10MU0004133,Driver
,,,,10AA0003984,Pedestrian
,,,,10AA0004006,Driver
,,,,10AA0004030,Pedestrian
,,,,10BA0003864,Driver
,,,,10BA0003989,Passenger
,,,,10CA0003863,Passenger
,,,,10AA0003987,Driver
,,,,10BA0003940,Driver
,,,,10BA0003946,Driver
,,,,10BA0003990,Pedestrian
,,,,10BA0003991,Driver
,,,,10BA0004009,Driver
,,,,10BA0004031,Driver
,,,,10CA0003980,Passenger
,,,,10CA0004003,Driver
,,,,10CA0004046,Driver
,,,,10MU0004070,Driver
,,,,10AA0003985,Driver
,,,,10AA0004829,Driver
,,,,10BA0003981,Driver
,,,,10BA0004013,Driver
,,,,10BA0004017,Pedestrian
,,,,10BA0004032,Pedestrian
,,,,10CA0003969,Pedestrian
,,,,10CA0003993,Driver
,,,,10AA0003988,Driver
,,,,10AA0003988,Driver
,,,,10AA0003988,Passenger
,,,,10AA0003988,Passenger
,,,,10AA0005095,Driver
,,,,10AA0005095,Passenger
,,,,10BA0003982,Passenger
,,,,10BA0003998,Driver
,,,,10BA0003998,Passenger
,,,,10BA0003998,Passenger
,,,,10BA0004035,Driver
,,,,10BA0004035,Passenger
,,,,10BA0004039,Driver
,,,,10BA0004039,Passenger
,,,,10BA0004039,Passenger
,,,,10CA0003942,Driver
,,,,10CA0003968,Driver
,,,,10MU0005777,Driver
,,,,10MU0005777,Passenger
,,,,10AA0003996,Driver
,,,,10AA0003996,Driver
,,,,10AA0004252,Driver
,,,,10BA0004196,Driver
,,,,10BA0004196,Driver
,,,,10CA0003986,Pedestrian
,,,,10CA0004101,Driver
,,,,10AA0003945,Driver
,,,,10AA0004284,Driver
,,,,10BA0004150,Driver
,,,,10BA0004153,Driver
,,,,10MU0004061,Driver
,,,,10MU0004061,Driver
,,,,10AA0004096,Driver
,,,,10AA0004367,Passenger
,,,,10BA0004140,Pedestrian
,,,,10CA0004021,Pedestrian
,,,,10CA0004044,Driver
,,,,10CA0004044,Driver
,,,,10CA0004059,Driver
,,,,10CA0004059,Passenger
,,,,10AA0004071,Driver
,,,,10AA0005740,Driver
,,,,10BA0004123,Driver
,,,,10BA0004123,Passenger
,,,,10BA0004197,Pedestrian
,,,,10BA0004519,Driver
,,,,10BA0004519,Passenger
,,,,10BA0004519,Driver
,,,,10AA0004590,Passenger
,,,,10BA0004135,Driver
,,,,10BA0004135,Passenger
,,,,10BA0004159,Driver
,,,,10AA0004083,Driver
,,,,10AA0004173,Driver
,,,,10AA0004177,Driver
,,,,10AA0004177,Driver
,,,,10AA0004224,Driver
,,,,10BA0004128,Driver
,,,,10BA0004129,Driver
,,,,10BA0004129,Passenger
,,,,10BA0004129,Passenger
,,,,10BA0004152,Driver
,,,,10BA0004157,Pedestrian
,,,,10BA0004214,Pedestrian
,,,,10MU0004725,Driver
,,,,10MU0004725,Passenger
,,,,10MU0004725,Passenger
,,,,10BA0004124,Driver
,,,,10BA0004125,Driver
,,,,10BA0004125,Driver
,,,,10CA0004122,Driver
,,,,10CA0004122,Passenger
,,,,10CA0004122,Passenger
,,,,10CA0004122,Passenger
,,,,10CA0004156,Driver
,,,,10CA0004156,Pedestrian
,,,,10CA0004242,Driver
,,,,10MU0004172,Driver
,,,,10MU0004172,Passenger
,,,,10MU0004178,Driver
,,,,10MU0004178,Passenger
,,,,10AA0004258,Driver
,,,,10MU0004185,Driver
,,,,10AA0004174,Passenger
,,,,10AA0004203,Driver
,,,,10AA0004203,Driver
,,,,10AA0004244,Driver
,,,,10BA0004144,Driver
,,,,10BA0004144,Passenger
,,,,10BA0004213,Driver
,,,,10BA0004225,Driver
,,,,10MU0004602,Driver
,,,,10AA0004254,Driver
,,,,10AA0004256,Driver
,,,,10AA0004278,Driver
,,,,10AA0004375,Driver
,,,,10AA0004375,Driver
,,,,10CA0004239,Passenger
,,,,10CA0004290,Driver
,,,,10CA0004290,Driver
,,,,10CA0004290,Passenger
,,,,10AA0004210,Passenger
,,,,10AA0004243,Driver
,,,,10AA0004243,Driver
,,,,10AA0004243,Passenger
,,,,10AA0004243,Passenger
,,,,10BA0004217,Driver
,,,,10BA0004341,Driver
,,,,10BA0004373,Driver
,,,,10CA0004263,Driver
,,,,10CA0004279,Driver
,,,,10CA0004279,Passenger
,,,,10CA0004279,Passenger
,,,,10AA0005475,Passenger
,,,,10BA0004339,Pedestrian
,,,,10BA0004365,Driver
,,,,10BA0004371,Driver
,,,,10BA0004371,Passenger
,,,,10BA0004371,Passenger
,,,,10CA0004317,Pedestrian
,,,,10CA0004388,Pedestrian
,,,,10BA0241025,Driver
,,,,10CA0004260,Pedestrian
,,,,10CA0004285,Driver
,,,,10MU0004310,Driver
,,,,10MU0004310,Passenger
,,,,10MU0004323,Driver
,,,,10MU0004418,Driver
,,,,10AA0004343,Driver
,,,,10AA0004364,Passenger
,,,,10AA0004382,Driver
,,,,10AA0004382,Driver
,,,,10CA0004270,Passenger
,,,,10CA0004301,Driver
,,,,10AA0004374,Pedestrian
,,,,10AA0004424,Pedestrian
,,,,10AA0004443,Driver
,,,,10AA0004443,Driver
,,,,10BA0004503,Driver
,,,,10BA0004503,Driver
,,,,10CA0004331,Passenger
,,,,10CA0004447,Pedestrian
,,,,10AA0004344,Driver
,,,,10BA0004410,Driver
,,,,10BA0006990,Passenger
,,,,10AA0004423,Driver
,,,,10AA0004423,Driver
,,,,10AA0004423,Passenger
,,,,10AA0004423,Passenger
,,,,10AA0004446,Driver
,,,,10AA0004446,Driver
,,,,10AA0004521,Driver
,,,,10BA0004392,Passenger
,,,,10BA0004396,Driver
,,,,10BA0004396,Passenger
,,,,10BA0004409,Driver
,,,,10BA0004415,Driver
,,,,10CA0004353,Passenger
,,,,10CA0004381,Driver
,,,,10CA0004391,Passenger
,,,,10CA0004504,Driver
,,,,10CA0004504,Driver
,,,,10AA0004438,Passenger
,,,,10AA0004945,Driver
,,,,10BA0004416,Driver
,,,,10BA0004489,Driver
,,,,10CA0004485,Pedestrian
,,,,10CA0004496,Driver
,,,,10CA0004507,Driver
,,,,10CA0004507,Pedestrian
,,,,10BA0004478,Pedestrian
,,,,10BA0004493,Driver
,,,,10BA0004499,Driver
,,,,10BA0004499,Driver
,,,,10BA0004951,Driver
,,,,10BA0004951,Passenger
,,,,10BA0006989,Passenger
,,,,10BA0006989,Passenger
,,,,10CA0004487,Driver
,,,,10CA0004487,Driver
,,,,10MU0004501,Driver
,,,,10MU0004502,Driver
,,,,10AA0004482,Pedestrian
,,,,10BA0004465,Passenger
,,,,10BA0004465,Passenger
,,,,10BA0006540,Driver
,,,,10BA0006540,Driver
,,,,10AA0004454,Driver
,,,,10AA0004454,Driver
,,,,10AA0004468,Driver
,,,,10AA0004468,Passenger
,,,,10AA0004582,Driver
,,,,10MU0004529,Driver
,,,,10AA0004527,Driver
,,,,10AA0004527,Driver
,,,,10AA0004527,Passenger
,,,,10AA0004547,Driver
,,,,10AA0004557,Driver
,,,,10BA0004575,Driver
,,,,10BA0004575,Driver
,,,,10BA0004575,Passenger
,,,,10BA0004594,Pedestrian
,,,,10CA0004567,Pedestrian
