Category Of Works,Accident Ref No.,Sex of Casualty,Age of Casualty,Latitude,Longitude,ActivityStartDateTime,ActivityEndDateTime
,10BA0003816,Female,28,,,,
,10BA0003816,Female,53,,,,
,10BA0157603,Female,27,,,,
,10BA0157603,Male,30,,,,
,10CA0002832,Male,9,,,,
,10AA0002828,Male,25,,,,
,10AA0002828,Male,20,,,,
,10AA0003148,Male,43,,,,
,10BA0002812,Male,69,,,,
,10AA0002821,Male,27,,,,
,10BA0002835,Female,49,,,,
,10BA0002859,Male,51,,,,
,10BA0002864,Male,40,,,,
,10CA0002829,Female,12,,,,
,10CA0160378,Male,55,,,,
,10AA0002817,Male,21,,,,
,10AA0002907,Male,48,,,,
,10CA0002881,Male,26,,,,
,10CA0002883,Male,12,,,,
,10AA0002877,Female,15,,,,
,10AA0002877,Female,15,,,,
,10AA0002909,Male,23,,,,
,10BA0002987,Male,49,,,,
,10CA0002851,Female,25,,,,
,10CA0002898,Male,37,,,,
,10CA0002898,Female,29,,,,
,10CA0003077,Male,26,,,,
,10AA0002892,Male,35,,,,
,10AA0002911,Female,20,,,,
,10AA0002933,Male,25,,,,
,10AA0003106,Female,32,,,,
,10BA0003171,Male,19,,,,
,10BA0003171,Female,42,,,,
,10BA0003460,Male,40,,,,
,10CA0002912,Male,12,,,,
,10CA0002944,Male,46,,,,
,10CA0002979,Male,22,,,,
,10AA0002998,Male,51,,,,
,10BA0003368,Male,37,,,,
,10CA0002928,Male,20,,,,
,10CA0002949,Male,43,,,,
,10CA0002997,Female,25,,,,
,10CA0003045,Female,11,,,,
,10DA0002964,Female,33,,,,
,10DA0002964,Female,22,,,,
,10BA0002939,Male,33,,,,
,10BA0002977,Male,25,,,,
,10BA0002977,Female,55,,,,
,10BA0003001,Female,53,,,,
,10BA0003001,Male,22,,,,
,10BA0005780,Male,38,,,,
,10CA0002954,Female,27,,,,
,10CA0002954,Female,38,,,,
,10CA0002954,Female,27,,,,
,10CA0003659,Male,42,,,,
,10AA0002993,Male,7,,,,
,10BA0002983,Male,36,,,,
,10BA0002983,Female,33,,,,
,10BA0002983,Female,5,,,,
,10MU0003046,Female,62,,,,
,10AA0003007,Male,26,,,,
,10AA0003012,Female,52,,,,
,10AA0003024,Female,8,,,,
,10AA0003098,Male,48,,,,
,10AA0003098,Female,48,,,,
,10BA0003088,Female,43,,,,
,10CA0003006,Male,40,,,,
,10CA0003061,Female,74,,,,
,10CA0003061,Male,17,,,,
,10CA0003192,Female,55,,,,
,10AA0003042,Male,2,,,,
,10BA0003067,Male,35,,,,
,10BA0003097,Female,22,,,,
,10BA0003097,Male,38,,,,
,10BA0003123,Female,9,,,,
,10BA0003123,Male,7,,,,
,10BA0003123,Female,33,,,,
,10BA0003124,Male,34,,,,
,10CA0003055,Female,61,,,,
,10CA0003105,Male,32,,,,
,10CA0003231,Female,35,,,,
,10AA0003064,Female,27,,,,
,10AA0003326,Male,45,,,,
,10AA0003326,Female,43,,,,
,10BA0003108,Female,47,,,,
,10CA0003109,Male,23,,,,
,10CA0003239,Female,86,,,,
,10CA0003307,Male,46,,,,
,10CA0003307,Male,18,,,,
,10MU0003215,Female,32,,,,
,10AA0003102,Female,39,,,,
,10AA0003116,Female,58,,,,
,10AA0003116,Female,63,,,,
,10BA0003908,Male,28,,,,
,10BA0003908,Female,24,,,,
,10CA0003198,Female,85,,,,
,10MU0003290,Female,12,,,,
,10AA0003107,Male,91,,,,
,10AA0003127,Male,4,,,,
,10AA0003252,Male,36,,,,
,10AA0003252,Female,39,,,,
,10CA0003113,Female,39,,,,
,10CA0003165,Female,28,,,,
,10CA0003201,Female,57,,,,
,10CA0003201,Female,26,,,,
,10MU0003225,Female,25,,,,
,10AA0003095,Male,3,,,,
,10AA0003332,Female,48,,,,
,10AA0003332,Female,57,,,,
,10AA0003377,Female,36,,,,
,10BA0003159,Male,31,,,,
,10BA0004198,Male,79,,,,
,10CA0003158,Female,20,,,,
,10AA0003470,Male,39,,,,
,10AA0003470,Female,27,,,,
,10AA0003470,Male,8,,,,
,10BA0003177,Male,35,,,,
,10BA0003199,Male,34,,,,
,10BA0003199,Female,31,,,,
,10BA0003199,Female,28,,,,
,10BA0003199,Male,29,,,,
,10AA0003218,Male,33,,,,
,10CA0003654,Male,21,,,,
,10MU0003329,Female,28,,,,
,10AA0003666,Female,19,,,,
,10BA0003228,Male,36,,,,
,10BA0003361,Female,53,,,,
,10CA0003224,Male,34,,,,
,10CA0003265,Female,20,,,,
,10AA0003335,Male,33,,,,
,10AA0003359,Male,36,,,,
,10BA0003412,Male,19,,,,
,10BA0003806,Female,30,,,,
,10CA0003263,Male,35,,,,
,10CA0003285,Female,31,,,,
,10CA0003292,Female,7,,,,
,10AA0003322,Male,18,,,,
,10BA0003325,Male,18,,,,
,10BA0003343,Male,31,,,,
,10BA0003387,Female,27,,,,
,10BA0003387,Female,27,,,,
,10CA0003321,Male,48,,,,
,10CA0003321,Female,18,,,,
,10CA0003327,Male,50,,,,
,10MU0003364,Female,38,,,,
,10AA0003315,Male,81,,,,
,10AA0003315,Female,37,,,,
,10AA0003315,Female,66,,,,
,10AA0003315,Male,4,,,,
,10AA0003324,Female,40,,,,
,10BA0003384,Female,42,,,,
,10CA0003379,Female,23,,,,
,10CA0003379,Male,47,,,,
,10CA0003379,Female,43,,,,
,10CA0003379,Female,10,,,,
,10CA0003379,Female,7,,,,
,10CA0003496,Male,25,,,,
,10CA0003568,Female,27,,,,
,10CA0003568,Female,22,,,,
,10CA0003568,Female,6,,,,
,10CA0003568,Female,2,,,,
,10MU0003462,Female,58,,,,
,10AA0003311,Male,10,,,,
,10BA0003396,Male,20,,,,
,10BA0003414,Male,36,,,,
,10BA0003572,Female,10,,,,
,10CA0003374,Female,42,,,,
,10CA0004411,Male,30,,,,
,10AA0003375,Female,8,,,,
,10AA0003375,Male,30,,,,
,10AA0003375,Female,10,,,,
,10AA0003458,Female,20,,,,
,10AA0003524,Male,31,,,,
,10BA0003336,Male,24,,,,
,10BA0003336,Male,26,,,,
,10BA0003356,Male,11,,,,
,10BA0003415,Male,37,,,,
,10BA0003415,Female,33,,,,
,10BA0003514,Female,55,,,,
,10BA0003576,Female,23,,,,
,10CA0003348,Male,25,,,,
,10MU0003472,Male,81,,,,
,10AA0003459,Male,62,,,,
,10AA0003459,Male,43,,,,
,10AA0003676,Female,50,,,,
,10BA0003457,Male,21,,,,
,10CA0003439,Female,17,,,,
,10BA0196118,Female,32,,,,
,10CA0003477,Male,45,,,,
,10CA0003477,Female,23,,,,
,10CA0004300,Male,21,,,,
,10AA0004038,Male,41,,,,
,10AA0004041,Male,62,,,,
,10BA0003538,Male,41,,,,
,10BA0003560,Female,50,,,,
,10CA0003522,Male,33,,,,
,10CA0003547,Male,8,,,,
,10AA0003504,Male,16,,,,
,10AA0003646,Male,50,,,,
,10AA0003646,Male,32,,,,
,10BA0003535,Male,50,,,,
,10BA0003535,Male,24,,,,
,10BA0003561,Male,4,,,,
,10BA0003584,Female,46,,,,
,10BA0003584,Female,18,,,,
,10CA0003605,Female,22,,,,
,10CA0003732,Male,44,,,,
,10CA0003732,Male,46,,,,
,10AA0003603,Female,68,,,,
,10AA0003603,Female,35,,,,
,10AA0003603,Female,10,,,,
,10BA0003515,Male,3,,,,
,10BA0003569,Male,37,,,,
,10BA0003569,Female,33,,,,
,10CA0003577,Male,23,,,,
,10CA0003611,Female,21,,,,
,10AA0003579,Male,45,,,,
,10AA0003579,Male,31,,,,
,10AA0003579,Female,43,,,,
,10BA0003587,Male,27,,,,
,10BA0003616,Female,51,,,,
,10AA0003635,Male,14,,,,
,10AA0003660,Female,79,,,,
,10CA0003639,Male,17,,,,
,10CA0003730,Male,46,,,,
,10CA0003733,Male,38,,,,
,10AA0003618,Female,75,,,,
,10AA0003650,Male,8,,,,
,10AA0003657,Male,41,,,,
,10AA0003663,Female,53,,,,
,10AA0003678,Female,54,,,,
,10BA0003765,Male,51,,,,
,10CA0003679,Male,62,,,,
,10AA0003692,Female,20,,,,
,10AA0003720,Male,22,,,,
,10AA0003741,Female,20,,,,
,10AA0003869,Male,23,,,,
,10BA0003658,Male,20,,,,
,10BA0003658,Female,49,,,,
,10BA0003658,Female,49,,,,
,10BA0207610,Male,35,,,,
,10CA0003689,Male,37,,,,
,10CA0003780,Male,21,,,,
,10AA0004015,Female,45,,,,
,10BA0003718,Male,19,,,,
,10CA0003739,Male,55,,,,
,10AA0003872,Male,18,,,,
,10BA0003821,Female,85,,,,
,10CA0003787,Male,18,,,,
,10CA0003787,Male,44,,,,
,10CA0003881,Male,18,,,,
,10MU0003833,Male,19,,,,
,10BA0003812,Male,5,,,,
,10CA0003979,Male,49,,,,
,10AA0003743,Female,41,,,,
,10AA0003743,Male,33,,,,
,10AA0004036,Male,38,,,,
,10BA0003798,Male,89,,,,
,10BA0003825,Male,49,,,,
,10BA0003825,Female,52,,,,
,10MU0003814,Female,25,,,,
,10MU0003814,Female,27,,,,
,10BA0003805,Male,23,,,,
,10BA0003813,Male,29,,,,
,10BA0003813,Female,54,,,,
,10BA0003813,Male,27,,,,
,10BA0003841,Male,34,,,,
,10BA0003841,Male,31,,,,
,10CA0003836,Male,24,,,,
,10AA0003875,Male,58,,,,
,10AA0003875,Male,56,,,,
,10BA0003867,Female,37,,,,
,10BA0003867,Female,37,,,,
,10CA0003839,Male,46,,,,
,10CA0003839,Female,32,,,,
,10CA0003839,Male,82,,,,
,10CA0003839,Female,73,,,,
,10CA0003839,Female,6,,,,
,10CA0003839,Female,3,,,,
,10MU0004133,Female,19,,,,
,10AA0003984,Male,42,,,,
,10AA0004006,Male,26,,,,
,10AA0004030,Male,24,,,,
,10BA0003864,Female,35,,,,
,10BA0003989,Male,75,,,,
,10CA0003863,Male,60,,,,
,10AA0003987,Male,35,,,,
,10BA0003940,Male,30,,,,
,10BA0003946,Male,22,,,,
,10BA0003990,Male,12,,,,
,10BA0003991,Male,45,,,,
,10BA0004009,Male,20,,,,
,10BA0004031,Male,50,,,,
,10CA0003980,Female,50,,,,
,10CA0004003,Male,71,,,,
,10CA0004046,Female,37,,,,
,10MU0004070,Female,34,,,,
,10AA0003985,Male,15,,,,
,10AA0004829,Female,49,,,,
,10BA0003981,Male,49,,,,
,10BA0004013,Female,47,,,,
,10BA0004017,Male,28,,,,
,10BA0004032,Female,11,,,,
,10CA0003969,Female,55,,,,
,10CA0003993,Male,38,,,,
,10AA0003988,Female,27,,,,
,10AA0003988,Male,18,,,,
,10AA0003988,Male,17,,,,
,10AA0003988,Male,17,,,,
,10AA0005095,Female,37,,,,
,10AA0005095,Female,37,,,,
,10BA0003982,Female,57,,,,
,10BA0003998,Male,20,,,,
,10BA0003998,Male,20,,,,
,10BA0003998,Female,19,,,,
,10BA0004035,Female,27,,,,
,10BA0004035,Female,25,,,,
,10BA0004039,Male,43,,,,
,10BA0004039,Female,32,,,,
,10BA0004039,Female,4,,,,
,10CA0003942,Male,48,,,,
,10CA0003968,Female,31,,,,
,10MU0005777,Male,44,,,,
,10MU0005777,Female,37,,,,
,10AA0003996,Male,47,,,,
,10AA0003996,Male,45,,,,
,10AA0004252,Male,25,,,,
,10BA0004196,Male,55,,,,
,10BA0004196,Female,46,,,,
,10CA0003986,Male,24,,,,
,10CA0004101,Female,35,,,,
,10AA0003945,Male,58,,,,
,10AA0004284,Male,16,,,,
,10BA0004150,Male,18,,,,
,10BA0004153,Male,44,,,,
,10MU0004061,Male,59,,,,
,10MU0004061,Female,25,,,,
,10AA0004096,Female,27,,,,
,10AA0004367,Female,18,,,,
,10BA0004140,Female,80,,,,
,10CA0004021,Female,19,,,,
,10CA0004044,Male,34,,,,
,10CA0004044,Female,33,,,,
,10CA0004059,Female,47,,,,
,10CA0004059,Female,25,,,,
,10AA0004071,Female,30,,,,
,10AA0005740,Male,54,,,,
,10BA0004123,Male,46,,,,
,10BA0004123,Female,35,,,,
,10BA0004197,Female,50,,,,
,10BA0004519,Female,17,,,,
,10BA0004519,Male,16,,,,
,10BA0004519,Female,41,,,,
,10AA0004590,Male,74,,,,
,10BA0004135,Male,21,,,,
,10BA0004135,Male,20,,,,
,10BA0004159,Female,9,,,,
,10AA0004083,Male,55,,,,
,10AA0004173,Male,55,,,,
,10AA0004177,Male,52,,,,
,10AA0004177,Male,34,,,,
,10AA0004224,Male,24,,,,
,10BA0004128,Female,44,,,,
,10BA0004129,Male,38,,,,
,10BA0004129,Male,47,,,,
,10BA0004129,Female,33,,,,
,10BA0004152,Male,15,,,,
,10BA0004157,Female,4,,,,
,10BA0004214,Female,30,,,,
,10MU0004725,Female,26,,,,
,10MU0004725,Female,5,,,,
,10MU0004725,Female,49,,,,
,10BA0004124,Male,50,,,,
,10BA0004125,Male,27,,,,
,10BA0004125,Male,58,,,,
,10CA0004122,Male,38,,,,
,10CA0004122,Male,55,,,,
,10CA0004122,Female,59,,,,
,10CA0004122,Male,59,,,,
,10CA0004156,Female,39,,,,
,10CA0004156,Female,71,,,,
,10CA0004242,Female,21,,,,
,10MU0004172,Male,51,,,,
,10MU0004172,Male,3,,,,
,10MU0004178,Male,56,,,,
,10MU0004178,Female,59,,,,
,10AA0004258,Male,47,,,,
,10MU0004185,Male,33,,,,
,10AA0004174,Female,75,,,,
,10AA0004203,Male,43,,,,
,10AA0004203,Male,77,,,,
,10AA0004244,Female,20,,,,
,10BA0004144,Male,19,,,,
,10BA0004144,Male,19,,,,
,10BA0004213,Female,25,,,,
,10BA0004225,Female,52,,,,
,10MU0004602,Male,61,,,,
,10AA0004254,Female,19,,,,
,10AA0004256,Female,45,,,,
,10AA0004278,Male,26,,,,
,10AA0004375,Female,64,,,,
,10AA0004375,Female,53,,,,
,10CA0004239,Female,5,,,,
,10CA0004290,Female,54,,,,
,10CA0004290,Female,37,,,,
,10CA0004290,Female,66,,,,
,10AA0004210,Female,25,,,,
,10AA0004243,Male,22,,,,
,10AA0004243,Male,41,,,,
,10AA0004243,Male,21,,,,
,10AA0004243,Male,21,,,,
,10BA0004217,Male,67,,,,
,10BA0004341,Male,27,,,,
,10BA0004373,Male,58,,,,
,10CA0004263,Male,47,,,,
,10CA0004279,Male,26,,,,
,10CA0004279,Male,38,,,,
,10CA0004279,Male,21,,,,
,10AA0005475,Male,65,,,,
,10BA0004339,Male,12,,,,
,10BA0004365,Female,24,,,,
,10BA0004371,Female,33,,,,
,10BA0004371,Female,14,,,,
,10BA0004371,Male,10,,,,
,10CA0004317,Female,82,,,,
,10CA0004388,Male,25,,,,
,10BA0241025,Male,37,,,,
,10CA0004260,Male,20,,,,
,10CA0004285,Female,31,,,,
,10MU0004310,Male,50,,,,
,10MU0004310,Male,21,,,,
,10MU0004323,Male,29,,,,
,10MU0004418,Male,47,,,,
,10AA0004343,Male,43,,,,
,10AA0004364,Male,58,,,,
,10AA0004382,Female,81,,,,
,10AA0004382,Male,38,,,,
,10CA0004270,Male,35,,,,
,10CA0004301,Male,19,,,,
,10AA0004374,Male,12,,,,
,10AA0004424,Female,30,,,,
,10AA0004443,Female,38,,,,
,10AA0004443,Male,25,,,,
,10BA0004503,Male,57,,,,
,10BA0004503,Female,38,,,,
,10CA0004331,Male,6,,,,
,10CA0004447,Female,30,,,,
,10AA0004344,Male,30,,,,
,10BA0004410,Male,40,,,,
,10BA0006990,Male,44,,,,
,10AA0004423,Male,18,,,,
,10AA0004423,Female,43,,,,
,10AA0004423,Male,19,,,,
,10AA0004423,Male,12,,,,
,10AA0004446,Female,41,,,,
,10AA0004446,Male,40,,,,
,10AA0004521,Male,13,,,,
,10BA0004392,Male,65,,,,
,10BA0004396,Male,16,,,,
,10BA0004396,Male,16,,,,
,10BA0004409,Male,27,,,,
,10BA0004415,Male,42,,,,
,10CA0004353,Female,62,,,,
,10CA0004381,Female,19,,,,
,10CA0004391,Male,23,,,,
,10CA0004504,Male,24,,,,
,10CA0004504,Male,59,,,,
,10AA0004438,Male,25,,,,
,10AA0004945,Male,43,,,,
,10BA0004416,Male,31,,,,
,10BA0004489,Male,16,,,,
,10CA0004485,Male,62,,,,
,10CA0004496,Male,22,,,,
,10CA0004507,Male,35,,,,
,10CA0004507,Female,20,,,,
,10BA0004478,Male,14,,,,
,10BA0004493,Male,12,,,,
,10BA0004499,Male,18,,,,
,10BA0004499,Male,61,,,,
,10BA0004951,Female,66,,,,
,10BA0004951,Female,4,,,,
,10BA0006989,Female,83,,,,
,10BA0006989,Female,40,,,,
,10CA0004487,Male,13,,,,
,10CA0004487,Male,18,,,,
,10MU0004501,Male,39,,,,
,10MU0004502,Female,53,,,,
,10AA0004482,Male,31,,,,
,10BA0004465,Female,31,,,,
,10BA0004465,Female,26,,,,
,10BA0006540,Male,21,,,,
,10BA0006540,Male,27,,,,
,10AA0004454,Male,31,,,,
,10AA0004454,Female,41,,,,
,10AA0004468,Male,43,,,,
,10AA0004468,Female,16,,,,
,10AA0004582,Male,48,,,,
,10MU0004529,Male,51,,,,
,10AA0004527,Male,24,,,,
,10AA0004527,Male,37,,,,
,10AA0004527,Female,24,,,,
,10AA0004547,Male,31,,,,
,10AA0004557,Female,32,,,,
,10BA0004575,Male,39,,,,
,10BA0004575,Male,23,,,,
,10BA0004575,Male,21,,,,
,10BA0004594,Female,68,,,,
,10CA0004567,Female,22,,,,
,10MU0004600,Female,47,,,,
,10MU0004600,Male,35,,,,
,10BA0004578,Male,93,,,,
,10BA0004578,Female,84,,,,
,10BA0004586,Female,51,,,,
,10BA0004638,Male,23,,,,
,10BA0004729,Male,25,,,,
,10CA0004616,Male,9,,,,
,10MU0004645,Female,29,,,,
,10AA0004579,Female,33,,,,
,10AA0004584,Male,24,,,,
,10AA0004972,Female,22,,,,
,10AA0004972,Male,37,,,,
,10AA0004972,Male,36,,,,
,10BA0004593,Female,47,,,,
,10CA0004581,Female,8,,,,
,10CA0004589,Female,52,,,,
,10CA0004607,Male,63,,,,
,10CA0004756,Female,27,,,,
,10MU0004723,Male,42,,,,
,10MU0004723,Male,39,,,,
,10MU0004723,Female,54,,,,
,10MU0004723,Male,30,,,,
,10MU0004723,Male,29,,,,
,10MU0004723,Male,28,,,,
,10AA0004642,Male,22,,,,
,10AA0004662,Female,22,,,,
,10BA0004630,Male,5,,,,
,10BA0004693,Female,20,,,,
,10BA0004937,Male,17,,,,
,10MU0004644,Female,26,,,,
,10AA0004920,Female,26,,,,
,10MU0004643,Female,20,,,,
,10MU0004643,Male,22,,,,
,10AA0004691,Male,24,,,,
,10BA0004715,Female,17,,,,
,10CA0004637,Male,22,,,,
,10CA0004637,Female,60,,,,
,10MU0004779,Male,42,,,,
,10AA0004722,Female,37,,,,
,10AA0004722,Female,12,,,,
,10BA0004726,Female,28,,,,
,10CA0004701,Female,49,,,,
,10CA0004794,Male,53,,,,
,10CA0004794,Female,48,,,,
,10CA0004796,Female,61,,,,
,10MU0004732,Male,38,,,,
,10AA0004752,Female,37,,,,
,10BA0004751,Male,28,,,,
,10CA0004758,Male,47,,,,
,10CA0004770,Female,62,,,,
,10CA0004884,Male,30,,,,
,10CA0004884,Female,4,,,,
,10AA0004780,Male,32,,,,
,10BA0004748,Female,2,,,,
,10BA0004839,Female,28,,,,
,10BA0004841,Female,41,,,,
,10BA0004847,Female,80,,,,
,10BA0004847,Male,40,,,,
,10BA0004903,Female,29,,,,
,10BA0004903,Female,7,,,,
,10CA0004999,Male,21,,,,
,10AA0004785,Male,19,,,,
,10BA0004803,Male,24,,,,
,10MU0004797,Female,31,,,,
,10AA0005075,Male,33,,,,
,10BA0004804,Male,45,,,,
,10BA0004804,Female,14,,,,
,10CA0004806,Male,77,,,,
,10CA0004882,Male,21,,,,
,10CA0004882,Female,16,,,,
,10CA0004882,Female,15,,,,
,10CA0004882,Female,16,,,,
,10AA0004802,Female,46,,,,
,10AA0004928,Female,21,,,,
,10AA0004928,Female,16,,,,
,10AA0004928,Female,16,,,,
,10AA0004928,Female,17,,,,
,10AA0004934,Male,9,,,,
,10CA0004915,Female,12,,,,
,10CA0004915,Female,41,,,,
,10AA0004935,Male,58,,,,
,10AA0004935,Female,56,,,,
,10AA0004831,Male,25,,,,
,10AA0004831,Male,63,,,,
,10AA0004831,Female,17,,,,
,10AA0004831,Female,17,,,,
,10AA0004890,Male,12,,,,
,10BA0004881,Male,25,,,,
,10BA0004896,Female,22,,,,
,10BA0004897,Male,21,,,,
,10BA0004897,Male,21,,,,
,10BA0004901,Male,18,,,,
,10BA0004902,Male,43,,,,
,10BA0004902,Male,22,,,,
,10BA0004902,Male,22,,,,
,10BA0004904,Male,36,,,,
,10BA0004910,Female,60,,,,
,10CA0004888,Male,48,,,,
,10AA0004938,Male,41,,,,
,10AA0278852,Male,4,,,,
,10MU0005013,Female,22,,,,
,10MU0005013,Female,46,,,,
,10AA0004964,Female,25,,,,
,10BA0004965,Male,20,,,,
,10BA0004965,Female,16,,,,
,10BA0004968,Male,17,,,,
,10AA0005063,Male,17,,,,
,10CA0005036,Female,50,,,,
,10CA0005036,Female,14,,,,
,10CA0005036,Male,43,,,,
,10CA0005036,Female,30,,,,
,10MU0005011,Male,60,,,,
,10MU0005011,Female,26,,,,
,10MU0005011,Female,60,,,,
,10MU0005033,Female,26,,,,
,10MU0005037,Male,48,,,,
,10MU0005037,Female,27,,,,
,10AA0004958,Male,25,,,,
,10AA0004963,Male,23,,,,
,10AA0004963,Male,26,,,,
,10AA0004963,Male,16,,,,
,10AA0004971,Male,17,,,,
,10AA0004971,Male,14,,,,
,10AA0004971,Male,17,,,,
,10AA0005101,Male,27,,,,
,10BA0005146,Male,23,,,,
,10BA0005146,Male,43,,,,
,10CA0004997,Male,14,,,,
,10CA0005014,Female,22,,,,
,10CA0005658,Female,30,,,,
,10AA0005118,Female,5,,,,
,10BA0005008,Male,61,,,,
,10BA0005038,Female,11,,,,
,10BA0005157,Male,19,,,,
,10MU0005057,Male,40,,,,
,10MU0005060,Male,50,,,,
,10MU0005060,Female,50,,,,
,10AA0005070,Male,34,,,,
,10AA0005070,Female,29,,,,
,10AA0005110,Male,12,,,,
,10BA0005006,Male,23,,,,
,10BA0005028,Male,46,,,,
,10BA0005039,Female,30,,,,
,10BA0005064,Male,53,,,,
,10BA0005073,Female,62,,,,
,10BA0005076,Male,53,,,,
,10CA0006321,Female,33,,,,
,10CA0006321,Female,70,,,,
,10MU0005058,Male,36,,,,
,10AA0005049,Male,15,,,,
,10AA0005052,Male,16,,,,
,10AA0005062,Male,51,,,,
,10AA0005355,Male,31,,,,
,10BA0005068,Male,33,,,,
,10BA0005068,Male,30,,,,
,10BA0005068,Female,23,,,,
,10BA0005068,Female,32,,,,
,10CA0005085,Female,89,,,,
,10MU0005111,Female,29,,,,
,10CA0005087,Male,36,,,,
,10CA0005093,Female,53,,,,
,10CA0005189,Female,29,,,,
,10MU0005109,Male,57,,,,
,10MU0005109,Female,20,,,,
,10AA0005133,Female,59,,,,
,10AA0005144,Female,69,,,,
,10AA0005156,Male,17,,,,
,10AA0005156,Male,16,,,,
,10BA0005168,Male,29,,,,
,10CA0005143,Male,40,,,,
,10CA0005145,Female,31,,,,
,10MU0005154,Male,48,,,,
,10MU0005154,Female,21,,,,
,10AA0005120,Female,47,,,,
,10AA0005155,Male,36,,,,
,10AA0005155,Male,29,,,,
,10AA0005155,Male,18,,,,
,10BA0005845,Female,26,,,,
,10BA0005845,Male,31,,,,
,10BA0005845,Female,36,,,,
,10BA0005845,Male,40,,,,
,10AA0005126,Female,32,,,,
,10AA0005137,Male,22,,,,
,10BA0005177,Male,11,,,,
,10BA0005187,Female,34,,,,
,10BA0005187,Female,36,,,,
,10CA0005131,Male,2,,,,
,10AA0005326,Male,15,,,,
,10BA0005169,Male,27,,,,
,10BA0005169,Female,25,,,,
,10BA0005169,Female,21,,,,
,10CA0005172,Male,47,,,,
,10CA0005172,Male,34,,,,
,10CA0005206,Female,9,,,,
,10AA0005207,Male,46,,,,
,10AA0005218,Female,49,,,,
,10AA0005218,Female,20,,,,
,10AA0005243,Female,20,,,,
,10AA0005243,Female,20,,,,
,10BA0005236,Female,25,,,,
,10MU0005205,Female,38,,,,
,10AA0005213,Male,38,,,,
,10AA0005216,Male,46,,,,
,10AA0005220,Female,24,,,,
,10AA0005220,Female,28,,,,
,10AA0005222,Female,35,,,,
,10AA0005222,Male,12,,,,
,10BA0005233,Male,62,,,,
,10BA0005233,Male,21,,,,
,10BA0005233,Male,23,,,,
,10BA0005244,Male,52,,,,
,10BA0005258,Female,27,,,,
,10BA0005364,Male,51,,,,
,10CA0005214,Female,17,,,,
,10CA0005276,Male,51,,,,
,10AA0005242,Male,31,,,,
,10AA0005261,Female,16,,,,
,10AA0005261,Male,18,,,,
,10BA0005264,Male,17,,,,
,10CA0005234,Female,68,,,,
,10MU0005328,Female,36,,,,
,10AA0005277,Male,26,,,,
,10AA0005320,Female,27,,,,
,10AA0005343,Female,25,,,,
,10BA0005287,Female,52,,,,
,10BA0005287,Male,37,,,,
,10CA0005245,Female,26,,,,
,10CA0005283,Male,11,,,,
,10BA0005294,Female,63,,,,
,10BA0005295,Female,15,,,,
,10BA0005322,Male,46,,,,
,10CA0005340,Male,48,,,,
,10AA0005300,Male,16,,,,
,10AA0005700,Male,17,,,,
,10BA0005298,Male,22,,,,
,10BA0005301,Male,5,,,,
,10BA0005310,Male,5,,,,
,10MU0005302,Male,34,,,,
,10MU0005317,Male,46,,,,
,10MU0005317,Male,55,,,,
,10MU0005317,Male,65,,,,
,10MU0005317,Male,34,,,,
,10MU0005317,Male,29,,,,
,10MU0005317,Male,27,,,,
,10MU0005317,Male,31,,,,
,10MU0005317,Male,37,,,,
,10MU0005317,Male,42,,,,
,10MU0005317,Male,36,,,,
,10MU0005317,Male,34,,,,
,10MU0005317,Male,67,,,,
,10MU0005347,Female,47,,,,
,10MU0005347,Male,12,,,,
,10AA0005496,Male,27,,,,
,10AA0005496,Male,58,,,,
,10BA0005357,Male,19,,,,
,10CA0005338,Female,14,,,,
,10CA0006094,Male,17,,,,
,10MU0005330,Male,41,,,,
,10BA0005617,Male,18,,,,
,10BA0005617,Male,18,,,,
,10CA0005384,Male,27,,,,
,10MU0005361,Female,19,,,,
,10MU0005361,Male,29,,,,
,10AA0005362,Male,18,,,,
,10AA0005362,Female,16,,,,
,10AA0005367,Male,19,,,,
,10AA0005460,Female,24,,,,
,10BA0005359,Female,19,,,,
,10BA0005375,Male,80,,,,
,10BA0005425,Male,7,,,,
,10CA0005374,Female,25,,,,
,10CA0005379,Male,15,,,,
,10CA0005381,Male,8,,,,
,10MU0005438,Male,27,,,,
,10MU0005438,Male,38,,,,
,10AA0005393,Male,49,,,,
,10AA0005393,Female,26,,,,
,10AA0005393,Male,18,,,,
,10AA0005393,Male,30,,,,
,10AA0005393,Male,38,,,,
,10BA0005378,Male,1,,,,
,10BA0005409,Male,50,,,,
,10BA0005428,Female,8,,,,
,10BA0005465,Male,38,,,,
,10MU0005423,Female,42,,,,
,10BA0005407,Female,67,,,,
,10BA0005418,Male,55,,,,
,10BA0005418,Female,45,,,,
,10CA0005471,Female,22,,,,
,10CA0005471,Male,25,,,,
,10MU0005406,Female,35,,,,
,10AA0005390,Male,51,,,,
,10AA0005422,Female,60,,,,
,10AA0005422,Male,23,,,,
,10AA0005422,Female,35,,,,
,10AA0005422,Female,41,,,,
,10BA0005402,Female,45,,,,
,10BA0005402,Male,23,,,,
,10BA0005402,Male,22,,,,
,10BA0005402,Male,29,,,,
,10BA0005402,Male,21,,,,
,10BA0005402,Female,18,,,,
,10BA0005402,Male,18,,,,
,10BA0005402,Male,19,,,,
,10BA0005402,Male,18,,,,
,10BA0005402,Male,27,,,,
,10BA0005402,Male,34,,,,
,10BA0005424,Female,67,,,,
,10CA0005447,Male,21,,,,
,10MU0005429,Male,32,,,,
